HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
灰,丿一火,5,huī,物体燃烧后剩下的东西，经烧制后形成的产品：～烬。～飞烟灭。#尘土：～尘。#特指“石灰”：～膏。#黑白之间的颜色：～色。#志气消沉：心～意懒。,ashes#dust#lime,0,3
捕,扌甫,0,bǔ,捉，逮：～捉。～获。～杀。巡～。缉～。～风捉影。,arrest#catch#seize,0,2
徐,彳余,0,xú,缓，慢慢地：～步。～缓。～图。～～。#姓。,slowly#quietly#calmly,0,2
珍,王人彡,0,zhēn,珠玉等宝物：～珠。奇～异宝。#宝贵的，贵重的：～贵。～奇。#重视，爱惜：～视。～爱。～重。～存。～藏。#精美的食物：～羞。八～。,precious#valuable#rare,0,3
幕,莫巾,0,mù,覆着在上面的帐：帐～。#垂挂在舞台前部的帷帐：～后。开～。#古代战争期间将帅办公的地方：～僚。#戏剧较完整的段落，亦喻生活中的情景：序～。,curtain#screen#tent,0,2
映,日央,0,yìng,照射：～射。～照。#反照，照射而显示：反～。～衬。～雪读书。,project#reflect light,0,2
裂,列衣,0,liè#liě,破开，开了缝：～开。～纹。～缝。～痕。～变。～隙。～罅。分～。破～。决～。割～。扯～。,split#crack#break open,0,2
泰,三人氺,1,tài,平安，安定：～适。～安。～然处之。#佳，美好：～运。否极～来。#极：～西。#骄纵，傲慢：～侈。骄～。#通：天地交～。,great#exalted#superior,0,3
隔,阝鬲,0,gé,遮断：～开。～离。～绝。～断。阻～。#相去有一段距离：～壁。～年。～行。～岸观火。～墙有耳。#思想感情有距离：～阂。～膜。～心。,separate#partition,0,2
启,户口,0,qǐ,打开：～封。～门。～齿。#开始：～用。～程。～运。#开导：～迪。～发。～蒙。～示。～明。承上～下。#陈述：～事。#书信：书～。小～。,open#begin#commence,0,2
尖,小大,0,jiān,锐利的末端或细小的部分：～锐。～刻。～酸。打～。～端。#感觉敏锐：眼～。#声音高而细：～脆。～嫩。#出类拔萃的人或事物：技术～子。,sharp#pointed#acute,0,2
忠,中心,0,zhōng,诚心尽力：～心。～诚。～实。～告。～于。～魂。～义。～贞。效～。赤胆～心。～言逆耳。,loyalty#devotion#fidelity,0,2
累,田糸,11,léi#lěi#lèi,〔～～〕①连续成串，如“果实～～”；②颓丧的样子，如“～～若丧家之犬”。#〔～赘〕①多余，不简洁。②使人感到多余或麻烦的事物。,tired#implicate#involve,0,2
炎,火火,12,yán,热：～热。～凉。#身体的一部分发生红、肿、热、痛的现象：～症。#传说中的中国上古帝王中的一位，并成为中华民族千百年的象征：～帝。～黄。,flame#blaze#hot,0,2
暂,斩日,0,zàn,不久，短时间：～时。～且。～缓。～停。～行办法。#猝然。#始，初：“或春苔兮始生，乍秋风兮～起”。,temporary,0,2
估,亻古,0,gū#gù,揣测，大致地推算：～计。～价。～一～。#古同“贾”，商人。,merchant#estimate#guess,0,2
泛,氵乏,0,fàn,漂浮：～舟。#透出：～红。#浮浅，不切实：～～之交。～～而谈。#一般地：～论。～指。～称。广～。～览。～读。#水向四处漫流：～溢。,to drift#float#careless,0,2
荒,艹亡儿丨,2,huāng,年成不好，收成不好：灾～。#长满野草，或无人耕种：～芜。#废弃：～废。#冷落偏僻：～郊。#不实在的，不正确的：～唐。#放纵，迷乱：～淫。,wasteland#desert#uncultivated,0,4
偿,亻尝,0,cháng,归还，补还：～还。～命。～债。赔～。得不～失。#满足：如愿以～。,repay#recompense#restitution,0,2
横,木黄,0,héng#hèng,跟地面平行的，与“竖”、“直”相对：～幅。#左右向的，跟目视方向垂直的，与“竖”、“直”、“纵”相对：纵～。#地理学上指东西向的：与“纵”相对：～贯东西。,across,0,2
拒,扌巨,0,jù,抵挡，抵抗：～守。～敌。抗～。#不接受：～绝。～谏。来者不～。#古同“矩”，方阵。,ward off with hand#defend,0,2
瑞,王耑,0,ruì,古代作为凭信的玉器：～玉。～节。～符。#吉详，好预兆：～气。～芝。～签。～雨。祥～。#姓。,felicitous omen#auspicious,0,2
忆,忄乙,0,yì,回想，想念：回～。追～。～苦思甜。#记得，记住：记～。记～犹新。,remember#reflect upon#memory,0,2
孤,子瓜,2,gū,幼年死去父亲或父母双亡：～儿。#单独：～单。～独。～立。～僻。～芳自赏。～苦伶仃。#古代帝王的自称：～家。～王。#古同“辜”，辜负。,orphan#fatherless#solitary,0,2
鼻,鼻,7,bí,嗅觉器官，亦是呼吸的孔道：～子。～窦。～孔。～腔。～涕。～音。～烟。仰人～息。嗤之以～。,nose#first,0,1
闹,门市,0,nào,不安静：热～。#搅扰：～心。#戏耍，耍笑：戏～。#发生：～水灾。#发泄，发作：～情绪。#生机勃勃，旺盛，声势浩大，热火朝天地搞：～元宵。,quarrel#dispute hotly,0,2
羊,羊,38,yáng#xiáng,哺乳动物，反刍类，一般头上有一对角，品种很多：绵～。黄～。羚～。～羔。～毫。～肠线。～肠小道。#姓。,sheep#goat,0,1
呆,口木,2,dāi,傻，愚蠢：～子。～气。～里撒奸。#不灵活，发愣：～板。～滞。～若木鸡。#同“待”。,dull#dull-minded#simple,0,2
厉,厂万,4,lì,严格：～行节约。#严肃：严～。声色俱～。#凶猛：～害。雷～风行。色～内荏。#磨，使锋利：～兵秣马。再接再～。#姓。,whetstone#grind#sharpen,0,2
衡,行丿乛田大,1,héng,秤杆，泛指秤：～器。～镜。～鉴。#称量：～钧。#反复思索做出决定，比较评定：权～。～情度理。#平，对等：平～。均～。#指北斗星：～汉。,measure#weigh#judge,0,5
胞,月包,0,bāo,〔细～〕生物体的基本结构和功能单位，主要由细胞核、细胞质、细胞膜等构成，有运动、营养和繁殖等机能。#同一父母所生的：～兄。～妹。同～。～波。,womb#placenta#fetal membrane,0,2
零,雨令,0,líng,液体降落：感激涕～。#植物凋谢：凋～。#整数以外的尾数：～数儿。#部分的，细碎的，与“整”相对：～钱。～售。#数字0,zero#fragment#fraction,0,2
穷,穴力,0,qióng,缺乏财物：贫～。#处境恶劣：～困。#达到极点：～目。～兵黩武。#完了：～尽。山～水尽。日暮途～。#推究到极点：～物之理。～追。～究。,poor#destitute#impoverished,0,2
舍,人舌,5,shě#shè,放弃，不要了：～己为人。～近求远。四～五入。#施舍：～粥。～药。,house#dwelling#dwell,0,2
码,石马,0,mǎ,代表数目的符号：页～。价～。#计算数量的用具：筹～。#指一件事或一类的事：两～事。#英美制长度单位，一码等于0.9144米。#堆叠：～垛。～放。,number#numerals#yard,0,2
赫,赤赤,0,hè,明显，显著，盛大：显～。喧～。～奕。～烜。#发怒：～咤。～怒。～然。#红如火烧，泛指红色：“～如渥赭”。,bright#radiant#glowing,0,2
婆,波女,0,pó,年老妇女：老太～。#丈夫母亲：～媳。#称长两辈亲属妇女：姑～。#方言，泛指已婚青年妇女，亦称妻子：～娘。#旧时指从事某些职业妇女：媒～。,old woman#grandmother,0,2
魂,云鬼,0,hún,迷信的人指附在人体上主宰人，又可离开肉体而独立存在的实体：～灵。鬼～。～不附体。#指精神或情绪：～飞魄散。～不守舍。,soul#spirit,0,2
灾,宀火,0,zāi,水、火、荒旱等所造成的祸害：水～。火～。～难。～害。～患。#个人的不幸遭遇：招～惹祸。幸～乐祸。破财消～。,calamity#disaster#catastrophe,0,2
洪,氵共,0,hóng,大：～水。～大。～福。～荒。～亮。#大水：山～。蓄～。分～。#姓。,vast#immense#flood,0,2
腿,月退,0,tuǐ,下肢：～脚。#器物上像腿的部分：桌～。#特指经盐腌、洗晒、晾挂等工序加工成的猪后腿：火～。,legs#thighs,0,2
胆,月旦,0,dǎn,人或某些动物体内器官之一，在肝脏右叶的下部：肝～相照。#不怕凶暴和危险的精神、勇气：～量。～大妄为。#装在器物内部而中空的东西：暖瓶～。,gall bladder#bravery#courage,0,2
津,氵聿,1,jīn,渡水的地方：～渡。关～。～要。问～。#口液，唾液：～液。～～有味。#汗：遍体生～。#滋润，补：～润。～贴。#中国天津市的简称。,ferry#saliva#ford,0,2
俗,亻谷,0,sú,社会上长期形成的风尚、礼节、习惯等：风～。#大众化的，最通行，习见的：～语。#趣味不高，令人讨厌的：粗～。#凡世间，相对于仙佛僧道：～人。,vulgar#unrefined,0,2
辩,辛讠辛,0,biàn,说明是非或争论真假：分～。争～。答～。～白。～驳。～护。～解。～论。～士。～证。,dispute#argue#debate,0,3
胸,月匈,0,xiōng,身体前面颈下腹上的部分，借指心里：～脯。～膛。～腔。～口。～骨。～椎。～膜。～怀。～襟。～无点墨。直抒～臆。～中有数。,breast#bosom#chest,0,2
晓,日尧,0,xiǎo,天明：～市。拂～。破～。报～。#知道，懂得：～畅。～得。分～。#使人知道清楚：～示。～谕。,dawn#daybreak#clear,0,2
劲,ス工力,0,jìn#jìng,力气，力量：～头。费～。干～。#精神，情绪，兴趣：干活儿起～儿。这部电影真没～。,strong#unyielding#tough,0,3
贫,分贝,0,pín,穷，收入少，生活困难，与“富”相对：～穷。～寒。～民。清～。#缺乏，不足：～乏。～血。～瘠。#絮烦可厌：～相。～气。#僧道谦称：～道。～僧。,poor#impoverished#needy,0,2
仁,亻二,0,rén,一种道德范畴，指人与人相互友爱、互助、同情等：～义。～至义尽。一视同～。#果核的最内部分或其他硬壳中可以吃的部分：核桃～儿。#姓。,humaneness#kindness,0,2
偶,亻禺,0,ǒu,用木头或泥土等制成的人形：～像。#双，对，成双成对，与“奇”相对：～数。#事理上不一定要发生而发生的：～然。～尔。#指丈夫或妻子：配～。,coincidently#an idol,0,2
辑,车咠,0,jí,聚集，特指聚集材料编书：编～。#聚集很多材料而成的书刊：丛书第一～。#和，和睦：～睦。#敛，拖着不便脱落。#古代称协调驾车的众马。,gather up#collect#edit,0,2
邦,丰阝,3,bāng,国：友～。邻～。～交。～国。～人。,nation#country#state,0,2
恢,忄灰,0,huī,〔～复〕变成原来的样子，如“健康已经～～”。#弘大，发扬：～张。～弘。～廓。,restore#big#great,0,2
赖,束负,5,lài,倚靠，仗恃：依～。#不承认：抵～。#刁钻泼辣，不讲道理；游手好闲，行为不端的人：无～。#诬，怪罪：诬～。#不好，劣：好～。#姓。,rely#depend on#accuse falsely,0,2
圈,囗卷,0,quān#juàn#juān,环形，环形的东西：圆～。花～。～套。画～。#周，周遭：跑了一～儿。#范围：势力～。#画环形：～阅。～点。～定。#划界，围住：～地。～闭。,to circle#a circle#corral,0,2
摸,扌莫,0,mō,用手接触或轻轻抚摩：～他的头。#用手探取、寻找：～鱼捞虾。#揣测，试探：～底。～索。#暗中行进，在认不清的道路上行走：～哨。～黑儿。,gently touch with hand#caress,0,2
仰,亻卬,0,yǎng#áng,脸向上，与“俯”相对：～望。#敬慕：久～。#依赖：～仗。#服下，指服毒：～药。～毒。#姓。,look up to#rely on,0,2
润,氵闰,0,rùn,不干枯，湿燥适中：湿～。#加油或水使不干枯：～滑。#细腻光滑：珠圆玉～。#使有光泽，修饰：～色。#利益：利～。#以财物酬人：～笔。,soft#moist#sleek,0,2
堆,土隹,0,duī,累积在一起的东西：～栈。～房。土～。#累积在一起，聚积在一起：～积。～放。～垒。～摞。～砌。#量词，用于成堆的物或成群的人：一～人。,heap#pile#crowd,0,2
碰,石並,0,pèng,撞击：～击。～撞。～壁。～～车。～钉子。#相遇：～见。～头。～巧。#试探：～运气。,collide#bump into,0,2
艇,舟廷,0,tǐng,轻便的小船：游～。汽～。#某些大船：潜水～。鱼雷～。舰～。,small boat#dugout#punt,0,2
稍,禾肖,1,shāo#shào,本义为禾末，引申为略微：～～。～微。～许。～纵即逝。,little#slightly#rather,0,2
迟,辶尺,0,chí,慢，缓：～缓。～笨。～钝。～疑。～重。～滞。#晚：～到。～暮，～早。推～。延～。#姓。,late#tardy#slow,0,2
辆,车两,0,liàng,量词，指车：一～汽车。车～。,numerary adjunct for vehicles,0,2
废,广发,0,fèi,停止，不再使用：～除。因噎～食。#没有用的，失去效用的：～话。#没有用的东西：修旧利～。#荒芜，衰败：田园荒～。#重伤或杀死某人：～了他。,abrogate#terminate#discard,0,2
净,冫争,0,jìng#chēng,清洁：干～。#使干净：～手。#空，什么也没有：～尽。#单纯，纯粹的：～值。#单，只，全：～是。#中国传统戏剧扮演男人的角色名：～角。,clean#pure#cleanse,0,2
凶,凵丿丶,14,xiōng,不幸的，不吉祥的：吉～。～信。#庄稼收成不好：～年饥岁。#恶：～恶。～相。～神恶煞。#关于杀伤的：行～。帮～。#厉害，过甚：雨～风狂。,culprit#murder#bad,0,3
署,罒者,2,shǔ,办理公务的机关：专～。公～。官～。#布置：部～。#签名，题字：签～。～名。～字。#暂代：～理。兼～。,public office,0,2
壁,辟土,0,bì,墙：～画。铜墙铁～。#指某些物体内部的表层：胃～。肠～。#陡削的山崖：峭～。～立。#军营的围墙：～垒。坚～清野。#星名，二十八宿之一。,partition wall,0,2
御,彳卸,1,yù,驾驶车马：～车。#封建社会指上级对下级的治理，统治：～下。#对帝王所作所为及所用物的敬称：～赐。～驾亲征。#抵挡：防～。～敌。～寒。,drive#ride#chariot,0,2
禦,御示,2,yù,“御”的繁体字。,drive#ride#chariot,0,2
奉,三人二丨,4,fèng,恭敬地用手捧着：～献。#尊重，遵守：～公守法。#敬辞，用于自己的举动涉及对方时：～陪。～劝。#信仰：信～。#供养，伺候：供～。#姓。,offer#receive#serve,0,4
旋,方丿一疋,5,xuán#xuàn,转动：～绕。～转。～律。盘～。天～地转。#回，归：凯～。#不久：～即。#表示与各方来往或来往于各方之间：周～。斡～。#姓。,revolve#move in orbit#return,0,4
冬,夂丶丶,8,dōng,一年中的第四季：～季。～天。～眠。#姓。#象声词，敲鼓声：战鼓～～。,winter#11th lunar month,0,3
矿,石广,0,kuàng,矿物，蕴藏在地层中的自然物质：～藏。铁～。煤～。～产。～泉。～源。#开采矿物的场所：～井。～坑。下～。,mine#mineral#ore,0,2
抬,扌台,0,tái,举，提高：～头。～手。#合力共举：～轿子。#〈方〉[抬杠]喻争辩。#〈量〉用于两人抬的东西：十～妆奁。,lift#carry,0,2
蛋,疋虫,0,dàn,鸟、龟、蛇等生的带有硬壳的卵：鸡～。蛇～。～白。～黄。#形状像蛋的：脸～儿。,eggs#term of abuse,0,2
晨,日辰,0,chén,清早，太阳出来的时候：早～。凌～。～光。～曦。～风。～雾。～炊。,early morning#daybreak,0,2
伏,亻犬,2,fú,趴，脸向下，体前屈：～卧。#低下去：此起彼～。#屈服，承认错误或受到惩罚：～法。#使屈服：降～。#隐藏：埋～。#姓。,crouch#crawl#lie hidden,0,2
吹,口欠,0,chuī,合拢嘴唇用力出气：～灯。#说大话：～牛。#类似吹的动作：～拂。风～草动。#失败：～台。#消息流传，鼓动宣传：鼓～。,blow#puff#brag,0,2
鸡,又鸟,0,jī,家禽，品种很多，翅膀短，不能高飞；雄性能报晓，雌性能生蛋：公～。母～。～雏。,chicken,0,2
倍,亻咅,1,bèi,等于原数的两个：加～。#某数的几倍等于用几乘某数：～数。#更加，非常：“每逢佳节～思亲”。～加。#增益：“焉用亡郑以～邻？”,times#fold#multiple times,0,2
糊,米胡,0,hū#hú#hù,涂抹或粘合使封闭起来：～了一层泥。,paste#stick on with paste,0,2
秦,三人禾,6,qín,中国周代诸侯国名，在今陕西省和甘肃省一带：朝～暮楚。～晋之好。～楼楚馆。#中国朝代名：～代。～镜高悬。#中国陕西省的别称。,the Qin dynasty,0,3
盾,盾,5,dùn,古代打仗时防护身体，挡住敌人刀箭等的牌：～牌。后～。#盾形的东西：金～。银～。,shield#dutch guilder#Indonesia,0,1
杯,木不,0,bēi,盛酒、水、茶等的器皿：～子。～盘狼藉。～中物。#杯状的锦标：奖～。～赛。夺～。,cup#glass,0,2
租,禾且,0,zū,出代价暂用别人的东西：～房。#收取一定的代价，把房屋、土地、器物等借给别人使用：～赁。#出租所收取的钱或实物：房～。地～。#田赋：～税。,rent#lease#rental,0,2
骑,马奇,0,qí,跨坐在牲畜或其他东西上：～马。#兼跨两边：～缝盖章。#骑的马或乘坐的其他动物：坐～。#骑兵，亦泛指骑马的人：铁～。#一人一马的合称：千～。,ride horseback#mount#cavalry,0,2
乏,丿之,6,fá,缺少：～味。贫～。不～其人。#疲倦：～困。～累。疲～。#无能，无用：～气。～煤。,lack#poor,0,2
隆,阝夂一生,3,lóng,盛大，厚，程度深：～冬。～重。#兴盛：兴～。～盛。#高，高起：～起。～穹。～准。#尊崇：～师。#姓。,prosperous#plentiful#abundant,0,4
诊,讠人彡,0,zhěn,医生为断定疾症而察看病人身体内部、外部的情况：门～。～断。～室。～脉。#察看，验证：“匠石觉而～其梦”。,examine patient#diagnose,0,3
奴,女又,9,nú,阶级社会中受压迫、剥削、役使的没有人身自由的人：农～。～隶。～婢。～颜婢膝。～性。#像对待奴隶那样地：～役。～使。#使人甘受奴役地：～化。,slave#servant,0,2
摄,扌聂,0,shè#niè,拿，吸取：～取。～影。～食。#保养：～生。～重。珍～。#代理：～行。～政。#捕捉：勾～。#迫近：“～乎大国之间”。#古同“慑”，怕，使害怕。,take in#absorb#act as deputy,0,2
丧,丧,0,sāng#sàng,跟死了人有关的事：～事。～礼。～亡。～假。～乱。治～。吊～。,mourning#mourn#funeral,0,1
污,氵亏,0,wū,浑浊的水：粪～。血～。#肮脏，不干净：～水。～泥。～浊。#肮脏的东西：～渍。～垢。#不廉洁：贪～。#弄脏：玷～。～损。～辱。～蔑。～染。,filthy#dirty#impure,0,2
渡,氵度,0,dù,横过水面：～船。～桥。～河。摆～。强～。远～重洋。#由此到彼：～过难关。#转手，移交：引～。#过河的地方：～口。～头。,cross#ferry over#ferry,0,2
旗,方丿一其,0,qí,用布、纸、绸子或其他材料做成的标识，多是长方形或方形：～子。#中国清代满族的军队户口编制，特指满族的：～人。#中国内蒙古自治区行政区划。,banner#flag#streamer,0,4
甘,甘,16,gān,甜，味道好：～甜。～苦。～冽。～落。～之如饴。同～共苦。～旨。#美好：～雨。～霖。#自愿，乐意：～愿。～拜下风。#姓。,sweetness#sweet#tasty,0,1
耐,而寸,0,nài,忍，受得住：忍～。～久。～人寻味。#古同“奈”，奈何。,endure#bear#resist,0,2
凭,任几,0,píng,靠在东西上：～栏。#依靠，仗恃：～借。#根据：～票入场。#证据：～据。文～。～空。～证。空口无～。#由着，听任：任～。听～。,lean on#depend on#rely on,0,2
扎,扌乚,0,zā#zhā#zhá,捆，缠束：～辫子。～腿。#把儿，捆儿：一～线。,pull up#pierce#struggle free,0,2
抢,扌仓,0,qiǎng#qiāng#chēng,夺，硬拿：～劫。～夺。#赶快，赶紧，争先：～先。～占。～购。～攻。#刮，擦：磨剪子～菜刀。#当面责备或讽刺：～白他一顿。,plunder#rob#take by force,0,2
绪,纟者,0,xù,开端：头～。#前人未完成的事业，功业：～功。#连绵不断的情思：情～。思～。心～。离情别～。#残余：～余。～风。#姓。,end of thread#thread#clue,0,2
粗,米且,0,cū,疏忽，不周密：～心。#不精致，工料毛糙：～糙。#长条东西直径大的：～大。#颗粒大的：～沙。#声音低而大：～声。#鲁莽：～鲁。#略微：～略。,rough#thick#course,0,2
肩,户月,2,jiān,脖子旁边胳膊上边的部分：～膀。～胛。并～。#担负：～负。～荷。～舆。,shoulders#to shoulder#bear,0,2
梁,氵刃丶木,1,liáng,支撑房顶的横木，泛指水平方向的长条形承重构件：房～。#桥：桥～。#器物、身体或其他物体上中间高起的部分：鼻～。#中国朝代名。#姓。,bridge#beam#rafters,0,4
幻,幻,0,huàn,空虚的，不真实的：～想。～影。～境。～灭。亦真亦～。虚～。梦～。#变化：～化。变～莫测。,illusion#fantasy#mirage,0,1
菲,艹非,0,fēi#fěi,花草茂盛，香气浓郁：～～，芳～。#碳氢化合物的一类，无色有光泽的结晶，可制染料、炸药等。,fragrant#luxuriant,0,2
皆,比白,9,jiē,全，都：～大欢喜。人人～知。放之四海而～准。,all#every#everybody,0,2
碎,石卒,0,suì,完整的东西破坏成零片或零块：～裂。粉～。粉身～骨。#零星，不完整：～屑。琐～。～琼。支离破～。#说话唠叨：嘴～。闲言～语。,break#smash#broken,0,2
宙,宀由,0,zhòu,古往今来所有的时间：宇～。,time as concept#infinite time,0,2
叔,上小又,6,shū,兄弟排行次序第三：伯、仲、～、季。#父亲的弟弟，亦称跟父亲同辈而年纪较小的男子：～父。大～。#丈夫的弟弟：小～子。～嫂。#拾：“九月～苴”。,father's younger brother,0,3
岩,山石,0,yán,高峻的山崖：～壁。～壑。#构成地壳的石头：～石。～洞。～浆。～层。熔～。#险要，险峻：～险。～邑。#山洞：中空成～。～居穴处。,cliff#rocks#mountain,0,2
荡,艹汤,0,dàng,清除，弄光：倾家～产。#洗涤：洗～。#摇动：～漾。#行为不检，不受约束：放～。#四处走动：游～。#广大平坦的样子：浩～。#浅水湖：芦花～。,pond#pool#wash away,0,2
综,纟宗,0,zōng#zèng,总合：～合。～括。～述。～览。～核名实。错～复杂。,arrange threads for weaving,0,2
爬,爪巴,0,pá,手和脚一齐着地走路，虫类行走：～行。～虫。～泳。#攀登：～高。～升。～山。往上～。#搔：～痒。～搔。,crawl#creep#climb,0,2
荷,艹何,1,hé,〔～包〕①佩戴的小囊；②食品名。#〔～尔蒙〕“激素”的旧称。#即“莲”。,lotus#water lily#holland,0,2
悉,釆心,3,xī,知道：洞～。尽～。获～。来函敬～。#尽，全：～力。～心。～数。,know#learn about#comprehend,0,2
蒂,艹帝,0,dì,花或瓜果跟枝茎相连的部分：花～。瓜～。～芥。根深～固。,peduncle or stem of plants,0,2
返,辶反,0,fǎn,回，归：往～。～航。～工。～青。～销。～修。～还。流连忘～。,return#revert to#restore,0,2
井,井,15,jǐng,人工挖成的能取出水的深洞。水～。临渴掘～。#形状像井的：天～。油～。#整齐，有秩序：～然。～～有条。#星名，二十八宿之一。#姓。,well#mine shaft#pit,0,1
壮,丬士,2,zhuàng,大，有力，强盛：强～。～士。～心。～烈。～美。兵强马～。#增加勇气和力量：～胆。～行。以～声势。#中国少数民族。,big#large#robust,0,2
薄,艹溥,2,báo#bó#bò,厚度小的：～片。～饼。#冷淡，不热情：～待。#味道淡：酒味很～。#土地不肥沃：～田。,thin#slight#weak,0,2
悄,忄肖,0,qiǎo#qiāo,忧愁：～切。～怆。～然落泪。忧心～～。#寂静无声：～然无声。～寂。～静。～声。,silent#quiet#still,0,2
扫,扌彐,0,sǎo#sào,拿笤帚清除垃圾：～地。#清除，消灭：～盲。#低落，丧失：～兴。#描画：～描。#迅速横掠而过：～射。#结束，了结：～尾。#祭奠：～墓。,sweep#clear away#exterminate,0,2
敏,每攵,3,mǐn,迅速，灵活：～捷。～感。～锐。～达。灵～。聪～。神经过～。#奋勉：～求。,fast#quick#clever,0,2
碍,石旦寸,0,ài,妨害，限阻：妨～。阻～。～事。障～。,obstruct#hinder#block,0,3
殖,歹直,0,zhí#shi,孳生：生～。养～。繁～。～民地。#种植：“农～嘉谷”。#兴生财利：货～。,breed#spawn#increase,0,2
详,讠羊,0,xiáng#yáng,细密，完备，与“略”相对：～细。#清楚地知道：内容不～。#说明，细说：内～。#审慎：～刑。#旧时的一种公文，下级官员对上级的报告：上～。,detailed#complete#thorough,0,2
迪,辶由,0,dí,开导：启～。#进：弗求弗～。#继承：汉～于秦，有因有革。,enlighten#advance#progress,0,2
矛,矛,11,máo,古代用来刺杀敌人的长柄兵器：～头。,spear#lance,0,1
霍,雨隹,5,huò,快，迅速：～闪。～地。～然。#〔～～〕①形容摩擦声、鸟翅振动声、笑声等；②形容快速闪动。#姓。,quickly#suddenly#surname,0,2
允,厶儿,4,yǔn,答应，认可：～许。～诺。不～。#公平得当：～当。公～。#信，实：～恭克让。,to grant#to allow#to consent,0,2
幅,巾畐,0,fú,布的宽度：～面。双～。宽～。#泛指事物的宽度：～度。～员。振～。篇～。#边缘：边～。#量词，用于布帛、图画等：一～画。五～布。,piece#strip#breadth of,0,2
撒,扌散,0,sā#sǎ,放开，发出：～手。～网。～谎。～气。#尽量施展或表现出来：～刁。～奸。～娇。～欢儿。～野。～酒疯。#姓。,release#cast away#let go,0,2
剩,乘刂,0,shèng,多余，余留下来的：～余。～菜。～货。～勇。～水残山。所～无几。就～他一个人。,leftovers#residue#remains,0,2
凯,岂几,0,kǎi,军队得胜回来奏的乐曲：～歌。～旋。奏～而归。#和，柔：“～风自南，吹彼棘薪”。#姓。,triumphant#triumph#victory,0,2
颗,果页,0,kē,小而圆的东西：～粒。#量词，指圆形或粒状的东西：三～珠子。,grain#kernel,0,2
骂,口口马,0,mà,用粗野或带恶意的话侮辱人：～人。～街。～名。咒～。辱～。#斥责：他父亲～他没出息。,accuse#blame#curse,0,3
赏,丶丶丶冖口贝,0,shǎng,给予奖励：奖～。#因爱好某种东西而观看：欣～。#认识到人的才能或作品的价值而给予重视：～识。#敬辞：～脸。#姓。,reward#grant#bestow,0,6
液,氵夜,0,yè,能流动、有一定体积而没有一定形状的物质：～体。～汁。～晶。～态。血～。精～。溶～。津～。#澄清：“凡为弓，冬析干而春～角”。,sap#juice#liquid,0,2
番,釆田,16,fān#pān,遍数，次，回：三～五次。#轮流更代：轮～。更～。#称外国的或外族的：～邦。～茄。～薯。#倍：产量翻了二～。,to take turns#a turn#a time,0,2
箱,竹相,0,xiāng,收藏衣物的方形器具，通常是上面有盖扣住：～子。衣～。书～。药～。#像箱子的器具：冰～。风～。信～。集装～。#同“厢”。,case#box#chest,0,2
贴,贝占,0,tiē,粘，把一种东西粘在另一种东西上：粘～。#靠近，紧挨：～近。～切。～心。#添补，补助：补～。津～。倒～。#同“帖”。#传统戏剧角色名：～旦。,paste to#stick on#attached to,0,2
漫,氵曼,0,màn,水过满，四外流出，漾出来：～流。#淹没：大水～过桥面。#满，遍，到处都是：～山遍野。#没有限制，没有约束，随意：散～。～步。～不经心。,overflow of water#spreading,0,2
酸,酉夋,0,suān,像醋的气味或味道：～菜。～甜。#讥讽人的迂腐：寒～。#悲痛，伤心：辛～。#因疲劳或疾病引起的微痛而无力的感觉：～痛。#化学物质：盐～。,tart#sour#acid,0,2
郎,郎,5,láng#làng,对年轻男子的称呼：大～。～才女貌。#对某种人的称呼：货～。女～。#旧时妻称夫或情人：～君。#封建时代的官名：～中。侍～。员外～。#姓。,gentleman#young man#husband,0,1
腰,月要,0,yāo,胯上胁下的部分，在身体的中部：～围。#东西的中段，中间：半山～。#中间狭小像腰部的地势：土～。海～。#裤、裙等围在腰上的部分：裤～。,waist#kidney,0,2
舒,舍予,0,shū,展开，伸展：～展。～畅。～张。～卷。～适。～心。#从容，缓慢：～缓。#姓。,open up#unfold#stretch out,0,2
眉,尸丨目,9,méi,眼上额下的毛：～毛。～宇。～心。～目。～寿。～睫。扬～吐气。#书页上端的空白：书～。～批。,eyebrows#upper margin of book,0,3
忧,忄尤,0,yōu,发愁：～愤。～惧。～烦。～惶。～急。～煎。～思。～戚。杞人～天。#可忧虑的事：～患。内～外患。乐以忘～。高枕无～。#指父母之丧：丁～。,sad#grieved#grief,0,2
憂,憂,1,yōu,“忧”的繁体字。,sad#grieved#grief,0,1
浮,氵孚,0,fú,漂在水面上，与“沉”相对：漂～。#表面的：～雕。#空虚，不切实：～夸。#不沉静，不沉着：～躁。#超过，多余：人～于事。#呈现，涌现：～现。,to float#drift#waft,0,2
辛,辛,16,xīn,辣：～辣。五～。#劳苦，艰难：～苦。～劳。#悲伤：～酸。#天干的第八位，用于作顺序第八的代称：～亥革命。#姓。,bitter#toilsome#laborious,0,1
恋,亦心,0,liàn,想念不忘，爱慕不舍，不忍舍弃，不想分开：眷～。思～。留～。依～。爱～。热～。初～。～人。～旧。～战。,love#long for#yearn for,0,2
餐,歺又食,0,cān,吃：～具。～厅。聚～。风～露宿。#饭食：早～。西～。#量词，指一顿饭：一日三～。,eat#dine#meal,0,3
吓,口下,0,xià#hè,使害怕：～唬。挺～人的。,scare#frighten#intimidate,0,2
