HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
对,又寸,2,duì,回答：无言以～。#朝着：～着。#反方向：～面。#互相：～立。#看待：～待。#检查：校～。#适合，使相合：～应。#正确：不～。#成双：配～。,correct#right#facing,0,2
生,生,13,shēng,生字义较多，仅给出部分词语：～长。～产。～存。～命。～机。卫～。～活。～意。平～。～气。～效。～火。～瓜。～饭。陌～。～手。～硬。～怕。学～。医～。,life#living#lifetime,0,1
能,厶月匕匕,4,néng#nài,才干，本事：～力。#有才干的：～人。#胜任，善于：～够。#会：小弟弟～走路了。#应该：不～这样说。,to be able#can#permitted to,0,4
而,而,11,ér,古同“尔”，代词，你或你的：“～翁归，自与汝复算耳”。#连词。#表：从上～下。,and#and then#and yet,0,1
子,子,30,zǐ,子字义较多，仅给出部分词语：～女。～孙。菜～。～实。鱼～。～鸡。～城。～弹。～母扣。男～。妻～。才～。孔～。～丑寅卯。～时。～爵。胖～。两下～。,offspring#child#fruit,0,1
那,刀二阝,3,nà#nǎ#nèi#nā,指较远的时间、地方或事物，与“这”相对：～里。～个。～样。～些。～时。～么。,that#that one#those,0,3
得,彳旦寸,0,dé#děi#de,获取，接受：～到。～失。～力。心～。#适合：～劲。～当。～法。～体。#满意：～意。#完成，实现：～逞。～志。#可以，许可：不～。#口语词。,obtain#get#gain,0,3
于,于,15,yú,介词。#后缀。#姓。,in#on#at,0,1
於,方人丶丶,4,yú,“于”的繁体字。,in#on#at,0,4
着,羊目,0,zhuó#zháo#zhāo#zhe,穿：穿～。#接触，挨上：～陆。#使接触别的事物，使附在别的物体上：～眼。～想。#下落，来源：～落。#派遣：～人前来领取。,make move#take action,0,2
下,一卜,4,xià,下字义较多，仅给出部分词语：～层。～级。～次。～限。～车。～棋。～海。～班。在～。～令。攻～。～货。～工夫。争执不～。～结论。一～。不～。～蛋。,under#underneath#below,0,2
自,自,17,zì,本人，己身：～己。～满。～诩。～尊。～谦。～觉。～学。#从，由：～从。#当然：～然。～生～灭。放任～流。#假如：～非圣人，外宁必有内忧。,self#private#personal,0,1
之,之,2,zhī,助词，表示领有、连属、修饰关系：赤子～心。缓兵～计。#代词，代替人或事物：置～度外。#代词，这，那。#虚用，无所指：久而久～。#往，到。,marks preceding phrase as modifier of following phrase,0,1
年,年,0,nián,地球绕太阳一周的时间：一～。#每年的：～会。#一年的开始：新～。#有关年节的：～货。#时期，时代：～华。#收成：～成。#岁数：～纪。,year#new-years#person's age,0,1
过,辶寸,1,guò#guo#guō,从这儿到那儿，从此时到彼时：～程。～渡。经～。#经过某种处理方法：～目。#超出：～度。～奖。～量。#从头到尾重新审视：再～一遍。#错误：～错。,pass#pass through#go across,0,2
過,辶咼,3,guò#guo#guō,“过”的繁体字。,pass#pass through#go across,0,2
发,发,4,fā#fà,发字义较多，仅给出部分词语：分～。～放。～射。～表。～散。～展。～扬。～现。～掘。～生。～愤。～面。～病。～抖。～动。启～。～人深省。～布。,issue#dispatch#send out,0,1
發,癶弓殳,2,fā#fà,“发”的繁体字。,issue#dispatch#send out,0,3
后,后,5,hòu,帝王的妻子：皇～。#指空间在背面，反面的，与“前”相对：～面。#时间较晚，与“先”相对：日～。#指次序，与“前”相对：～排。#子孙：～辈。～裔。,queen#empress#sovereign,0,1
作,亻乍,1,zuò,起，兴起：振～。#从事：工～。#进行：～战。#做出：～恶。～弊。#当成，充当：～罢。#创造：创～。#文艺方面的成品：～品。#从事某种活动：～死。,make#work#compose,0,2
里,里,18,lǐ,居住的地方：故～。#街坊：～弄。#中国市制长度单位：一～。～程牌。#衣物的内层：被～。#内部，与“外”相对，并引申为一定范围以内：心～。这～。,unit of distance#village#lane,0,1
用,用,7,yòng,使人或物发挥其功能：使～。～心。#可供使用的：～品。#进饭食的婉辞：～饭。#花费的钱财：费～。#物质使用的效果：功～。#需要：不～多说。,use#employ#apply,0,1
道,辶首,0,dào,路，方向，途径：～路。#指法则、规律：～理。～德。#方法，技术：门～。道教：～观。～士。#说，讲：常言～。能说会～。#用语言表示情意：～歉。,path#road#street,0,2
行,行,14,háng#xíng,行列：字里～间。#排名：排～。#量词。用于成行的东西：泪下两～。#某些营业所：银～。#行业：同～。#用长的针脚成行地连缀：～棉袄。～几针。,go#walk#move,0,1
所,所,0,suǒ,处，地方：住～。场～。#机关或其他办事的地方的名称：研究～。#量词。#用在动词前，代表接受动作的事物：～谓。～有。,place#location,0,1
然,然,2,rán,对，是：不～。不以为～。#以为对，答应，信守：～纳。～诺。#这样，如此：当～。～后。#表示一种语气。#用于词尾，表示状态：显～。忽～。,yes#certainly#pledge,0,1
家,宀豕,3,jiā#jia#jie,共同生活的眷属和他们所住的地方：～庭。～乡。#家庭所在地：回～。#家养的：～禽。#具有某种特性的人：专～。行～。作～。#学术流派：儒～。法～。,house#home#residence,0,2
种,禾中,0,zhǒng#zhòng#chóng,生物在生态和形态上具有不同特点的分类的基本单位：物～。#生物传代繁殖的物质：～子。#量词，表示类别、式样：～～。#指胆量或骨气：有～。,seed#race#breed,0,2
事,事,0,shì,自然界和社会中的现象和活动：～情。～业。#变故：～故。～端。#职业：谋～。#关系和责任：没你的～了。#办法：不是～儿。#做，治：无所～事。,affair#matter#business,0,1
成,成,8,chéng,做好，做完：完～。#事物发展到一定的形态或状况：～形。#变为：变～。#够，达到一定数量：～年累月。#已定的，定形的：～见。#姓。,completed#finished#fixed,0,1
方,方,39,fāng,方字义较多，仅给出部分词语：正～形。平～。开～。～正。～直。～向。～面。地～。～言。～法。变幻无～。药～。～命。～兴未艾。～才。土石～。姓～。,a square#rectangle#a region,0,1
多,夕夕,9,duō,数量大，与“少”、“寡”相对：人～。～年。#数目在二以上：～义词。#有余，比一定的数目大：～余。#过分，不必要的：～嘴。#表示惊异、赞叹、程度、疑问。,much#many#more than,0,2
经,纟ス工,0,jīng,经字义较多，仅给出部分词语：～线。～纶。～度。诗～。～文。四书五～。～理。～营。～商。～济。～过。～历。～验。～受。～常。～费。～脉。已～。曾～。月～。,classic works#pass through,0,3
么,丿厶,2,me#mó#ma#yāo,词尾：怎～。这～。多～。什～。#助词，表示含蓄语气，用在前半句末了：不让你去～，你又要去。,interrogative particle#tender,0,2
去,土厶,11,qù,离开所在的地方到别处；由自己一方到另一方，与“来”相对：～处。#已过的，特指刚过去的一年：～年。#除掉，减掉：～掉。#用在动词后，表示趋向：上～。,go away#leave#depart,0,2
法,氵去,0,fǎ,体现统治阶段的意志，国家制定和颁布的公民必须遵守的行为规则：～律。#处理事物的手段：办～。#仿效：效～。#法国。,law#rule#regulation,0,2
学,丶丶丶冖子,0,xué,效法，钻研知识，获得知识，读书：～生。～习。#传授知识的地方：～校。上～。#掌握的知识：～问。～识。#分门别类的有系统的知识：～说。数～。小～。,learning#knowledge#school,0,5
如,女口,8,rú,依照顺从：～愿。#像，相似，同什么一样：～此。～同。#比得上，及：不～。#假若，假设：～果。#奈，怎么：～何。#表示举例：例～。,if#supposing#as if,0,2
都,者阝,1,dū#dōu,大都市：～市。#一国的最高行政机关所在的地方，京城：首～。#美好：～丽。～雅。#总：～为一集。#居：“～卿相之位”。#古代称头目、首领。#姓。,metropolis#capital#all,0,2
同,冂一口,23,tóng#tòng,一样，没有差异；相～。～一。～年。～胞。～仁。～仇敌忾。～工异曲。情～手足。#共，在一起：共～。～步。殊途～归。～舟共济。#和，跟：～流合污。,same#similar#together with,0,3
现,王见,0,xiàn,显露：出～。表～。发～。体～。～身说法。#实有的，当时就有的：～金。～款。～货。～实。#目前，当时：～时。～在。～今。～场。～代。～买～卖。,appear#manifest#become visible,0,2
当,丶丶丶彐,4,dāng#dàng,充任，担任：担～。#掌管，主持：～家。#正在那时候或那地方：～初。～今。#面对着：～面。#相称，相配：相～。#应该：应～。#抵敌：万夫不～之勇。,bear#accept#undertake,0,4
當,丶丶丶冖口田,2,dāng#dàng,“当”的繁体字。,bear#accept#undertake,0,6
没,氵殳,0,méi#mò,无：～有。～用。～关系。～词儿。～精打采。～心～肺。#不曾，未：～有来过。#不够，不如：汽车～飞机快。,not#have not#none,0,2
动,云力,1,dòng,改变原来位置或脱离静止状态：变～。#使开始发生：发～。#使用：～用。#使感情起变化：感～。#非静止的：～画。#可变的：～产。#行为：举～。,move#happen#movement,0,2
面,面,4,miàn,面字义较多，仅给出部分词语：脸～。颜～。～目。～～相觑。～对。地～。前～。片～。全～。当～。～议。平～。曲～。～粉。～食。～包。～条。瓜很～。,face#surface#plane,0,1
起,走巳,0,qǐ,起字义较多，仅给出部分词语：～床。～立。～身。～跑。～始。～码。～步。～初。～伏。～色。～风。～疑。～诉。～草。白手～家。一～。想～。唱～来。看不～。,rise#stand up#go up,0,2
